번호,한정,패스 갯수,가격,캐릭터 목록
'14-6,15,8,15,【수기사 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 히카리 세이아 드아코 마코토 나기사 바카린】 / 수로코 코코나 히마리 우이 슌 체리노 히나타 네루 뉴카리 레이사 마시로 마키 메리스 미나 미네 미모리 미유 바스나 바토키 사복사야 사복세나 사야 사오리 세나 수노미 수사키 수야코 수이미 수카리 수카모 스미레 시구레 아루 아미레 아주리 어린슌 에이미 온도카 온리노 우미카 유즈 응타하 이오리 이즈나 이즈미 츠쿠요 치리나 치아키 카린 카에데 카즈사 카호 코하루 크나에 크리나 키쿄 하루나 히비키 히후미
'16-19,15,8,14,【수기사 수미카 드히나 임시노 쿠로코 수나코 수시노 와카모 수요리 드아코 마코토 미사카미코토 수우이 수시로 바카린】 / 캠하레 우이 히나타 네루 노아 뉴즈미 뉴카리 라로코 마시로 메루 미네 미노리 미도리 미모리 미사키 바스나 바토키 사복사야 사야 사오리 수모리 수키쿄 수후미 스미레 아루 아리스 아미레 아즈사 아츠코 에이미 온나츠 온도카 유즈 유카리 응타하 이로하 이오리 슌 이즈나 츠루기 츠쿠요 치리나 카린 카스미 카호 캠타마 코하루 크리나 하루나 히나 히비키 히요리
'19-19,15,8,14,【수미카 리오 교네루 드히나 임시노 미카 수시노 와카모 수이아 미사카미코토 수즈나 뉴츠키 수즈사 수히나】 / 우이 히나타 가피나 네루 뉴리카 루미 마키 메루 미나 미도리 미사키 바토키 사복세나 사츠키 수후미 스미레 시구레 시로코 아루 아츠코 어린슌 온도카 우미카 운루나 응타하 응토리 이로하 이오리 슌 츠루기 치모에 치히로 카린 카에데 카즈사 칸나 코유키 코하루 크나에 파우카 하루나 히나 히비키 히후미
'13-31,14,8,15,【수기사 리오 교네루 드히나 수나코 미카 수시노 와카모 세이아 교스나 수요리 수우이 수즈사 수시로】 / 아코 히마리 뉴요코 우이 슌 체리노 히나타 수칸나 나츠 네루 뉴루카 뉴즈미 뉴카리 드요코 라로코 렌게 마리나 마시로 마키 메도리 메루 미나 미네 미도리 미사키 미유 바스나 바카네 사야 사오리 세나 수노미 수리카 수사키 수카모 수후미 스미레 시로코 아리스 아즈사 아츠코 어린슌 에이미 온도카 온리노 유즈 유카리 응타하 이로하 이오리 이즈미 츠쿠요 치히로 카린 카스미 칸나 캠타마 코하루 키라라 하루나 호시노 히나 히비키 히요리 히후미
'27-18,14,8,15,【수기사 리오 교네루 드히나 쿠로코 수나코 미카 수시노 수요리 수우이 나기사 수즈나 수치세 운유카】 / 히마리 뉴요코 우이 히나타 노아 드오리 마시로 메구 메루 모에 미나 미야코 세나 수부키 수카모 수후미 스미레 시구레 아루 아리스 아츠코 온구레 온나츠 온도카 온리노 유즈 응타하 응토리 이오리 이즈나 츠루기 카에데 카즈사 캠타마 크나에 하루나 히비키 히후미
'6-8,14,8,15,【수기사 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 수요리 수나타 수즈사 수치세 바카린】 / 키사키 히마리 우이 슌 네루 뉴루카 뉴리카 뉴카리 드요코 라로코 렌게 마리나 마시로 모에 미노리 미모리 미사키 미유 바스나 바토키 사야 수모리 수모에 수이미 수후미 시로코 아리스 아즈사 아츠코 온리노 유즈 응타하 이로하 츠루기 츠쿠요 치히로 카린 코하루 크리나 키라라 키쿄 하루나 히나 히비키 히요리 히후미
'8-7,14,8,15,【리오 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수요리 수우이 수나타 수즈사 수시로】 / 드아루 히마리 우이 슌 체리노 히나타 나츠 네루 노아 뉴즈미 라로코 마리나 마시로 메도리 메리스 모에 미나 미네 미노리 미야코 미유 바스나 바카네 사복사야 사야 사키 수리카 수모리 수사키 수이미 스미레 아루 아즈사 에이미 온나츠 유즈 유카리 이로하 이오리 이즈나 이즈미 츠루기 츠쿠요 치아키 치히로 카에데 카호 칸나 크나에 하루나 히비키
'26-8,14,8,25,【수기사 리오 드히나 임시노 수나코 미카 수시노 와카모 수이아 수스미 수요리 드아코 마코토 수즈나】 / 드아루 히마리 우이 히나타 가바키 뉴루카 라로코 메구 메루 미도리 미모리 미야코 바스나 바카네 사야 사복세나 사쿠라코 사키 수노미 수리카 수이미 수카모 수후미 아즈사 아츠코 온나츠 유즈 유카리 이로하 이즈나 이즈미 이치카 츠쿠요 코유키 코하루 크나에 호시노 히비키
'13-2,14,8,15,【수기사 교네루 드히나 임시노 쿠로코 수나코 미카 와카모 수이아 드아코 미사카미코토 수즈사 수오리 수즈나】 / 코코나 아코 뉴요코 슌 히나타 수칸나 가피나 나츠 네루 노아 뉴리카 레이죠 렌게 마리나 마시로 메구 메모이 모에 미도리 미모리 미사키 바스나 사복사야 사쿠라코 사키 수노미 수야코 수카모 수후미 시구레 시로코 아루 아리스 아즈사 아츠코 어린슌 온나츠 온도카 운루나 유즈 이로하 이오리 이즈미 츠루기 치히로 카린 카즈사 카호 코하루 크리나 하루나 호시노 히후미
'15-5,13,8,16,【리오 교네루 드히나 임시노 쿠로코 미카 수시노 와카모 히카리 수요리 수시로 수즈나 수치세】 / 캠하레 코코나 아코 히마리 우이 슌 체리노 히나타 네루 노아 뉴카리 라로코 마시로 마키 메리스 모에 미나 미네 미도리 미모리 미야코 미유 바스나 사복사야 사복세나 사야 사쿠라코 사키 수노미 수야코 수카모 수후미 스미레 시로코 아루 아츠코 어린슌 에이미 온나츠 온도카 운루나 유즈 응토리 이로하 이오리 츠루기 카호 크나에 파노아 호시노 히비키 히요리 히후미
'17-8,13,8,14,【리오 교네루 드히나 임시노 수나코 미카 수시노 와카모 수이아 수스미 세이아 드아코 수즈사】 / 수로코 히마리 우이 슌 체리노 네루 루미 마키 메구 메리스 모에 미나 미노리 미도리 미야코 미유 바스나 사오리 사키 수노미 수모리 수카모 스미레 시구레 시로코 아루 아즈사 온구레 우미카 응타하 응토리 이오리 이즈나 이즈미 츠루기 츠쿠요 치히로 카린 카스미 카에데 캠타마 코유키 크리나 키쿄 하루나 호시노 히나 히비키 히요리 히후미
'23-9,13,8,14,【수기사 리오 드히나 임시노 수나코 미카 수시노 와카모 세이아 수요리 드아코 수즈나 수치세】 / 수로코 코코나 뉴요코 우이 슌 히나타 나츠 노아 뉴리카 뉴카리 라로코 루미 마시로 마키 미나 미네 미도리 미사키 미야코 미유 바카네 사야 세나 수리카 수모리 수카모 스미레 시구레 아루 아츠코 에이미 온리노 우미카 유즈 응타하 이로하 이즈나 카린 카에데 카즈사 카호 칸나 코유키 크나에 크리나 파노아 하루나 히비키 히요리
'14-10,13,8,15,【수기사 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 세이아 수즈사 수우이 뉴아루】 / 코코나 아코 히마리 뉴요코 슌 체리노 나츠 네루 노아 뉴리카 레이사 루미 마리나 마시로 메리스 미네 미사키 미야코 미유 바스나 바카네 밴나츠 사복사야 사키 수노미 수부키 수카모 수후미 스미레 시로코 아리스 에이미 온도카 온리노 유즈 응타하 이오리 이즈나 츠쿠요 치히로 카린 카에데 크나에 호시노 히나 히비키 히후미
'25-21,13,8,14,【수기사 수미카 드히나 임시노 쿠로코 수나코 수시노 와카모 세이아 수요리 수우이 수나타 나기사】 / 아코 히마리 우이 슌 체리노 네루 노아 뉴루카 뉴리카 레이 레이죠 렌게 루미 마시로 마키 메루 메리스 메모이 미도리 미모리 미야코 미유 사오리 사키 세나 수노미 수사키 수키쿄 수후미 스미레 아루 아즈사 아츠코 에이미 이로하 이오리 이즈나 이즈미 츠루기 츠쿠요 카스미 카에데 카즈사 칸나 캠타마 코유키 하루나 호시노 히나
'27-5,13,8,15,【수기사 수미카 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 세이아 수요리 드아코 수우이】 / 히마리 뉴요코 슌 히나타 나츠 노아 뉴리카 니야 라로코 레이사 렌게 마리나 마키 메구 미나 미도리 미모리 미유 바토키 사츠키 사쿠라코 사키 세나 수노미 수리카 수사키 수카모 시로코 아루 아리스 아즈사 어린슌 에이미 온구레 온나츠 우미카 이오리 이즈나 츠루기 츠쿠요 카에데 캠타마 코유키 코하루 크나에 키라라 하루나 히나 히비키 히요리 히후미
'27-4,12,8,15,【리오 교네루 드히나 쿠로코 수나코 미카 수시노 와카모 싸오리 미사카미코토 수우이 수즈나】 / 수로코 히마리 히나타 네루 라로코 레이죠 렌게 마리나 마시로 모에 미나 미네 미도리 미모리 미사키 미야코 바스나 바카네 사야 사쿠라코 수모리 수부키 수사키 수후미 아리스 아츠코 어린슌 온구레 온나츠 운루나 이로하 이즈나 이즈미 츠루기 츠쿠요 치히로 칸나 코유키 크나에 크리나 하루나 히나 히후미
'8-12,12,8,15,【수기사 리오 임시노 미카 수시노 와카모 수이아 드히나 수나코 세이아 뉴츠키 바카린】 / 키사키 캠하레 코코나 우이 슌 체리노 히나타 가바키 네루 뉴리카 뉴카리 라로코 레이 렌게 마리나 마키 메루 모에 미나 미네 미도리 미모리 미야코 바스나 수노미 수모리 수부키 수야코 수후미 스미레 아루 아리스 아즈사 아츠코 에이미 유즈 유카리 응타하 이로하 이오리 이즈나 이즈미 츠쿠요 치히로 카린 카즈사 코하루 호시노 히나 히비키 히후미
'18-8,12,8,15,【수기사 리오 교네루 드히나 임시노 수나코 미카 수시노 수이아 수스미 수즈나 바카린】 / 수로코 히마리 우이 나츠 뉴루카 드오리 라로코 레이죠 마리나 마시로 마키 메구 메도리 메루 메모이 미도리 미사키 미유 바스나 바카네 사복사야 사야 사오리 사쿠라코 사키 세나 수노미 수모리 수부키 수야코 스미레 시구레 시로코 아즈사 아츠코 어린슌 에이미 온나츠 온리노 운루나 유즈 유카리 응타하 이로하 이오리 이즈미 츠루기 츠쿠요 치히로 카린 카즈사 파노아 하루나 호시노 히나 히비키 히요리
'27-12,11,8,13,【리오 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 드아코 마코토】 / 수로코 뉴요코 우이 히나타 수칸나 네루 뉴리카 렌게 루미 마리나 마시로 마키 메루 메모이 미노리 미유 사복사야 사오리 수노미 수모리 수부키 수카리 스미레 시구레 시로코 아리스 아츠코 어린슌 온도카 온리노 운루나 유즈 응타하 이로하 이오리 츠루기 츠쿠요 치리나 카에데 카즈사 크나에 크리나 키라라 키쿄 하루나 호시노 히나
'16-5,11,8,14,【수기사 리오 드히나 임시노 쿠로코 수나코 수시노 와카모 수요리 마코토 수즈나】 / 히마리 슌 체리노 가바키 노아 뉴루카 뉴리카 라로코 레이사 렌게 마리나 마키 메모이 모에 미네 미사키 미유 바카네 사복사야 사야 사키 세나 수사키 수야코 수후미 스미레 시구레 시로코 아루 아리스 아미레 아즈사 어린슌 에이미 온구레 온도카 유즈 이로하 이오리 이즈나 이즈미 츠루기 카린 카즈사 카호 칸나 코유키 크나에 크리나 키쿄 호시노 히나 히비키 히후미
